Event,Timestamp,Framecount,SessionID,Email,BCIState,BCIConfidence,InputNumber,BCIThresholdBuffer,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal
MotorImagery,2020-12-03 13:00:31.2005,10027,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6604,22,(0.667 0.656 0.626 0.628 0.660 0.572 0.615 0.638 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 13:00:31.2015,10027,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,6,-5.4438,0.0000,Running,1.4301,24,0.2000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
GameDecision,2020-12-03 13:00:31.2025,10027,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Closed,6,-5.4438,0.0000,Running,1.4301,23,0.2333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,AccInput,AccInput
Rest,2020-12-03 13:00:31.3405,10037,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5445,22,(0.667 0.656 0.626 0.628 0.660 0.610 0.544 0.638 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 13:00:34.9176,10292,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.6319,23,(0.656 0.676 0.632 0.604 0.633 0.626 0.611 0.622 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 13:00:34.9321,10293,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.5530,23,(0.656 0.676 0.632 0.553 0.633 0.626 0.611 0.622 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MotorImagery,2020-12-03 13:00:35.5731,10339,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7130,24,(0.711 0.734 0.753 0.739 0.737 0.728 0.713 0.694 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rest,2020-12-03 13:00:36.7149,10421,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.4513,24,(0.654 0.451 0.632 0.589 0.597 0.612 0.637 0.663 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InputWindowChange,2020-12-03 13:00:48.6484,11273,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,NULL,NULL,NULL,NULL,Open,7,0.0000,0.0000,Running,2.0242,23,0.2333,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,NA,NULL
MotorImagery,2020-12-03 13:00:51.9062,11506,1f4f60ac5f35e39a756a5adbe166c60a,anonymous,ReceivingData,0.7618,25,(0.696 0.722 0.730 0.744 0.748 0.762 0.638 0.677 ),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
